,car_name,mpg,cyl,disp,hp,wt,acc,yr,origin
0,chevrolet chevelle malibu,18.0,8,307.0,130,3504,12.0,70,1
1,buick skylark 320,15.0,8,350.0,165,3693,11.5,70,1
2,plymouth satellite,18.0,8,318.0,150,3436,11.0,70,1
3,amc rebel sst,16.0,8,304.0,150,3433,12.0,70,1
4,ford torino,17.0,8,302.0,140,3449,10.5,70,1
5,ford galaxie 500,15.0,8,429.0,198,4341,10.0,70,1
6,chevrolet impala,14.0,8,454.0,220,4354,9.0,70,1
7,plymouth fury iii,14.0,8,440.0,215,4312,8.5,70,1
8,pontiac catalina,14.0,8,455.0,225,4425,10.0,70,1
9,amc ambassador dpl,15.0,8,390.0,190,3850,8.5,70,1
10,dodge challenger se,15.0,8,383.0,170,3563,10.0,70,1
11,plymouth 'cuda 340,14.0,8,340.0,160,3609,8.0,70,1
12,chevrolet monte carlo,15.0,8,400.0,150,3761,9.5,70,1
13,buick estate wagon (sw),14.0,8,455.0,225,3086,10.0,70,1
14,toyota corona mark ii,24.0,4,113.0,95,2372,15.0,70,3
15,plymouth duster,22.0,6,198.0,95,2833,15.5,70,1
16,amc hornet,18.0,6,199.0,97,2774,15.5,70,1
17,ford maverick,21.0,6,200.0,85,2587,16.0,70,1
18,datsun pl510,27.0,4,97.0,88,2130,14.5,70,3
19,volkswagen 1131 deluxe sedan,26.0,4,97.0,46,1835,20.5,70,2
20,peugeot 504,25.0,4,110.0,87,2672,17.5,70,2
21,audi 100 ls,24.0,4,107.0,90,2430,14.5,70,2
22,saab 99e,25.0,4,104.0,95,2375,17.5,70,2
23,bmw 2002,26.0,4,121.0,113,2234,12.5,70,2
24,amc gremlin,21.0,6,199.0,90,2648,15.0,70,1
25,ford f250,10.0,8,360.0,215,4615,14.0,70,1
26,chevy c20,10.0,8,307.0,200,4376,15.0,70,1
27,dodge d200,11.0,8,318.0,210,4382,13.5,70,1
28,hi 1200d,9.0,8,304.0,193,4732,18.5,70,1
29,datsun pl510,27.0,4,97.0,88,2130,14.5,71,3
30,chevrolet vega 2300,28.0,4,140.0,90,2264,15.5,71,1
31,toyota corona,25.0,4,113.0,95,2228,14.0,71,3
32,ford pinto,25.0,4,98.0,?,2046,19.0,71,1
33,amc gremlin,19.0,6,232.0,100,2634,13.0,71,1
34,plymouth satellite custom,16.0,6,225.0,105,3439,15.5,71,1
35,chevrolet chevelle malibu,17.0,6,250.0,100,3329,15.5,71,1
36,ford torino 500,19.0,6,250.0,88,3302,15.5,71,1
37,amc matador,18.0,6,232.0,100,3288,15.5,71,1
38,chevrolet impala,14.0,8,350.0,165,4209,12.0,71,1
39,pontiac catalina brougham,14.0,8,400.0,175,4464,11.5,71,1
40,ford galaxie 500,14.0,8,351.0,153,4154,13.5,71,1
41,plymouth fury iii,14.0,8,318.0,150,4096,13.0,71,1
42,dodge monaco (sw),12.0,8,383.0,180,4955,11.5,71,1
43,ford country squire (sw),13.0,8,400.0,170,4746,12.0,71,1
44,pontiac safari (sw),13.0,8,400.0,175,5140,12.0,71,1
45,amc hornet sportabout (sw),18.0,6,258.0,110,2962,13.5,71,1
46,chevrolet vega (sw),22.0,4,140.0,72,2408,19.0,71,1
47,pontiac firebird,19.0,6,250.0,100,3282,15.0,71,1
48,ford mustang,18.0,6,250.0,88,3139,14.5,71,1
49,mercury capri 2000,23.0,4,122.0,86,2220,14.0,71,1
50,opel 1900,28.0,4,116.0,90,2123,14.0,71,2
51,peugeot 304,30.0,4,79.0,70,2074,19.5,71,2
52,fiat 124b,30.0,4,88.0,76,2065,14.5,71,2
53,toyota corolla 1200,31.0,4,71.0,65,1773,19.0,71,3
54,datsun 1200,35.0,4,72.0,69,1613,18.0,71,3
55,volkswagen model 111,27.0,4,97.0,60,1834,19.0,71,2
56,plymouth cricket,26.0,4,91.0,70,1955,20.5,71,1
57,toyota corona hardtop,24.0,4,113.0,95,2278,15.5,72,3
58,dodge colt hardtop,25.0,4,97.5,80,2126,17.0,72,1
59,volkswagen type 3,23.0,4,97.0,54,2254,23.5,72,2
60,chevrolet vega,20.0,4,140.0,90,2408,19.5,72,1
61,ford pinto runabout,21.0,4,122.0,86,2226,16.5,72,1
62,chevrolet impala,13.0,8,350.0,165,4274,12.0,72,1
63,pontiac catalina,14.0,8,400.0,175,4385,12.0,72,1
64,plymouth fury iii,15.0,8,318.0,150,4135,13.5,72,1
65,ford galaxie 500,14.0,8,351.0,153,4129,13.0,72,1
66,amc ambassador sst,17.0,8,304.0,150,3672,11.5,72,1
67,mercury marquis,11.0,8,429.0,208,4633,11.0,72,1
68,buick lesabre custom,13.0,8,350.0,155,4502,13.5,72,1
69,oldsmobile delta 88 royale,12.0,8,350.0,160,4456,13.5,72,1
70,chrysler newport royal,13.0,8,400.0,190,4422,12.5,72,1
71,mazda rx2 coupe,19.0,3,70.0,97,2330,13.5,72,3
72,amc matador (sw),15.0,8,304.0,150,3892,12.5,72,1
73,chevrolet chevelle concours (sw),13.0,8,307.0,130,4098,14.0,72,1
74,ford gran torino (sw),13.0,8,302.0,140,4294,16.0,72,1
75,plymouth satellite custom (sw),14.0,8,318.0,150,4077,14.0,72,1
76,volvo 145e (sw),18.0,4,121.0,112,2933,14.5,72,2
77,volkswagen 411 (sw),22.0,4,121.0,76,2511,18.0,72,2
78,peugeot 504 (sw),21.0,4,120.0,87,2979,19.5,72,2
79,renault 12 (sw),26.0,4,96.0,69,2189,18.0,72,2
80,ford pinto (sw),22.0,4,122.0,86,2395,16.0,72,1
81,datsun 510 (sw),28.0,4,97.0,92,2288,17.0,72,3
82,toyouta corona mark ii (sw),23.0,4,120.0,97,2506,14.5,72,3
83,dodge colt (sw),28.0,4,98.0,80,2164,15.0,72,1
84,toyota corolla 1600 (sw),27.0,4,97.0,88,2100,16.5,72,3
85,buick century 350,13.0,8,350.0,175,4100,13.0,73,1
86,amc matador,14.0,8,304.0,150,3672,11.5,73,1
87,chevrolet malibu,13.0,8,350.0,145,3988,13.0,73,1
88,ford gran torino,14.0,8,302.0,137,4042,14.5,73,1
89,dodge coronet custom,15.0,8,318.0,150,3777,12.5,73,1
90,mercury marquis brougham,12.0,8,429.0,198,4952,11.5,73,1
91,chevrolet caprice classic,13.0,8,400.0,150,4464,12.0,73,1
92,ford ltd,13.0,8,351.0,158,4363,13.0,73,1
93,plymouth fury gran sedan,14.0,8,318.0,150,4237,14.5,73,1
94,chrysler new yorker brougham,13.0,8,440.0,215,4735,11.0,73,1
95,buick electra 225 custom,12.0,8,455.0,225,4951,11.0,73,1
96,amc ambassador brougham,13.0,8,360.0,175,3821,11.0,73,1
97,plymouth valiant,18.0,6,225.0,105,3121,16.5,73,1
98,chevrolet nova custom,16.0,6,250.0,100,3278,18.0,73,1
99,amc hornet,18.0,6,232.0,100,2945,16.0,73,1
100,ford maverick,18.0,6,250.0,88,3021,16.5,73,1
101,plymouth duster,23.0,6,198.0,95,2904,16.0,73,1
102,volkswagen super beetle,26.0,4,97.0,46,1950,21.0,73,2
103,chevrolet impala,11.0,8,400.0,150,4997,14.0,73,1
104,ford country,12.0,8,400.0,167,4906,12.5,73,1
105,plymouth custom suburb,13.0,8,360.0,170,4654,13.0,73,1
106,oldsmobile vista cruiser,12.0,8,350.0,180,4499,12.5,73,1
107,amc gremlin,18.0,6,232.0,100,2789,15.0,73,1
108,toyota carina,20.0,4,97.0,88,2279,19.0,73,3
109,chevrolet vega,21.0,4,140.0,72,2401,19.5,73,1
110,datsun 610,22.0,4,108.0,94,2379,16.5,73,3
111,maxda rx3,18.0,3,70.0,90,2124,13.5,73,3
112,ford pinto,19.0,4,122.0,85,2310,18.5,73,1
113,mercury capri v6,21.0,6,155.0,107,2472,14.0,73,1
114,fiat 124 sport coupe,26.0,4,98.0,90,2265,15.5,73,2
115,chevrolet monte carlo s,15.0,8,350.0,145,4082,13.0,73,1
116,pontiac grand prix,16.0,8,400.0,230,4278,9.5,73,1
117,fiat 128,29.0,4,68.0,49,1867,19.5,73,2
118,opel manta,24.0,4,116.0,75,2158,15.5,73,2
119,audi 100ls,20.0,4,114.0,91,2582,14.0,73,2
120,volvo 144ea,19.0,4,121.0,112,2868,15.5,73,2
121,dodge dart custom,15.0,8,318.0,150,3399,11.0,73,1
122,saab 99le,24.0,4,121.0,110,2660,14.0,73,2
123,toyota mark ii,20.0,6,156.0,122,2807,13.5,73,3
124,oldsmobile omega,11.0,8,350.0,180,3664,11.0,73,1
125,plymouth duster,20.0,6,198.0,95,3102,16.5,74,1
126,ford maverick,21.0,6,200.0,?,2875,17.0,74,1
127,amc hornet,19.0,6,232.0,100,2901,16.0,74,1
128,chevrolet nova,15.0,6,250.0,100,3336,17.0,74,1
129,datsun b210,31.0,4,79.0,67,1950,19.0,74,3
130,ford pinto,26.0,4,122.0,80,2451,16.5,74,1
131,toyota corolla 1200,32.0,4,71.0,65,1836,21.0,74,3
132,chevrolet vega,25.0,4,140.0,75,2542,17.0,74,1
133,chevrolet chevelle malibu classic,16.0,6,250.0,100,3781,17.0,74,1
134,amc matador,16.0,6,258.0,110,3632,18.0,74,1
135,plymouth satellite sebring,18.0,6,225.0,105,3613,16.5,74,1
136,ford gran torino,16.0,8,302.0,140,4141,14.0,74,1
137,buick century luxus (sw),13.0,8,350.0,150,4699,14.5,74,1
138,dodge coronet custom (sw),14.0,8,318.0,150,4457,13.5,74,1
139,ford gran torino (sw),14.0,8,302.0,140,4638,16.0,74,1
140,amc matador (sw),14.0,8,304.0,150,4257,15.5,74,1
141,audi fox,29.0,4,98.0,83,2219,16.5,74,2
142,volkswagen dasher,26.0,4,79.0,67,1963,15.5,74,2
143,opel manta,26.0,4,97.0,78,2300,14.5,74,2
144,toyota corona,31.0,4,76.0,52,1649,16.5,74,3
145,datsun 710,32.0,4,83.0,61,2003,19.0,74,3
146,dodge colt,28.0,4,90.0,75,2125,14.5,74,1
147,fiat 128,24.0,4,90.0,75,2108,15.5,74,2
148,fiat 124 tc,26.0,4,116.0,75,2246,14.0,74,2
149,honda civic,24.0,4,120.0,97,2489,15.0,74,3
150,subaru,26.0,4,108.0,93,2391,15.5,74,3
151,fiat x1.9,31.0,4,79.0,67,2000,16.0,74,2
152,plymouth valiant custom,19.0,6,225.0,95,3264,16.0,75,1
153,chevrolet nova,18.0,6,250.0,105,3459,16.0,75,1
154,mercury monarch,15.0,6,250.0,72,3432,21.0,75,1
155,ford maverick,15.0,6,250.0,72,3158,19.5,75,1
156,pontiac catalina,16.0,8,400.0,170,4668,11.5,75,1
157,chevrolet bel air,15.0,8,350.0,145,4440,14.0,75,1
158,plymouth grand fury,16.0,8,318.0,150,4498,14.5,75,1
159,ford ltd,14.0,8,351.0,148,4657,13.5,75,1
160,buick century,17.0,6,231.0,110,3907,21.0,75,1
161,chevroelt chevelle malibu,16.0,6,250.0,105,3897,18.5,75,1
162,amc matador,15.0,6,258.0,110,3730,19.0,75,1
163,plymouth fury,18.0,6,225.0,95,3785,19.0,75,1
164,buick skyhawk,21.0,6,231.0,110,3039,15.0,75,1
165,chevrolet monza 2+2,20.0,8,262.0,110,3221,13.5,75,1
166,ford mustang ii,13.0,8,302.0,129,3169,12.0,75,1
167,toyota corolla,29.0,4,97.0,75,2171,16.0,75,3
168,ford pinto,23.0,4,140.0,83,2639,17.0,75,1
169,amc gremlin,20.0,6,232.0,100,2914,16.0,75,1
170,pontiac astro,23.0,4,140.0,78,2592,18.5,75,1
171,toyota corona,24.0,4,134.0,96,2702,13.5,75,3
172,volkswagen dasher,25.0,4,90.0,71,2223,16.5,75,2
173,datsun 710,24.0,4,119.0,97,2545,17.0,75,3
174,ford pinto,18.0,6,171.0,97,2984,14.5,75,1
175,volkswagen rabbit,29.0,4,90.0,70,1937,14.0,75,2
176,amc pacer,19.0,6,232.0,90,3211,17.0,75,1
177,audi 100ls,23.0,4,115.0,95,2694,15.0,75,2
178,peugeot 504,23.0,4,120.0,88,2957,17.0,75,2
179,volvo 244dl,22.0,4,121.0,98,2945,14.5,75,2
180,saab 99le,25.0,4,121.0,115,2671,13.5,75,2
181,honda civic cvcc,33.0,4,91.0,53,1795,17.5,75,3
182,fiat 131,28.0,4,107.0,86,2464,15.5,76,2
183,opel 1900,25.0,4,116.0,81,2220,16.9,76,2
184,capri ii,25.0,4,140.0,92,2572,14.9,76,1
185,dodge colt,26.0,4,98.0,79,2255,17.7,76,1
186,renault 12tl,27.0,4,101.0,83,2202,15.3,76,2
187,chevrolet chevelle malibu classic,17.5,8,305.0,140,4215,13.0,76,1
188,dodge coronet brougham,16.0,8,318.0,150,4190,13.0,76,1
189,amc matador,15.5,8,304.0,120,3962,13.9,76,1
190,ford gran torino,14.5,8,351.0,152,4215,12.8,76,1
191,plymouth valiant,22.0,6,225.0,100,3233,15.4,76,1
192,chevrolet nova,22.0,6,250.0,105,3353,14.5,76,1
193,ford maverick,24.0,6,200.0,81,3012,17.6,76,1
194,amc hornet,22.5,6,232.0,90,3085,17.6,76,1
195,chevrolet chevette,29.0,4,85.0,52,2035,22.2,76,1
196,chevrolet woody,24.5,4,98.0,60,2164,22.1,76,1
197,vw rabbit,29.0,4,90.0,70,1937,14.2,76,2
198,honda civic,33.0,4,91.0,53,1795,17.4,76,3
199,dodge aspen se,20.0,6,225.0,100,3651,17.7,76,1
200,ford granada ghia,18.0,6,250.0,78,3574,21.0,76,1
201,pontiac ventura sj,18.5,6,250.0,110,3645,16.2,76,1
202,amc pacer d/l,17.5,6,258.0,95,3193,17.8,76,1
203,volkswagen rabbit,29.5,4,97.0,71,1825,12.2,76,2
204,datsun b-210,32.0,4,85.0,70,1990,17.0,76,3
205,toyota corolla,28.0,4,97.0,75,2155,16.4,76,3
206,ford pinto,26.5,4,140.0,72,2565,13.6,76,1
207,volvo 245,20.0,4,130.0,102,3150,15.7,76,2
208,plymouth volare premier v8,13.0,8,318.0,150,3940,13.2,76,1
209,peugeot 504,19.0,4,120.0,88,3270,21.9,76,2
210,toyota mark ii,19.0,6,156.0,108,2930,15.5,76,3
211,mercedes-benz 280s,16.5,6,168.0,120,3820,16.7,76,2
212,cadillac seville,16.5,8,350.0,180,4380,12.1,76,1
213,chevy c10,13.0,8,350.0,145,4055,12.0,76,1
214,ford f108,13.0,8,302.0,130,3870,15.0,76,1
215,dodge d100,13.0,8,318.0,150,3755,14.0,76,1
216,honda accord cvcc,31.5,4,98.0,68,2045,18.5,77,3
217,buick opel isuzu deluxe,30.0,4,111.0,80,2155,14.8,77,1
218,renault 5 gtl,36.0,4,79.0,58,1825,18.6,77,2
219,plymouth arrow gs,25.5,4,122.0,96,2300,15.5,77,1
220,datsun f-10 hatchback,33.5,4,85.0,70,1945,16.8,77,3
221,chevrolet caprice classic,17.5,8,305.0,145,3880,12.5,77,1
222,oldsmobile cutlass supreme,17.0,8,260.0,110,4060,19.0,77,1
223,dodge monaco brougham,15.5,8,318.0,145,4140,13.7,77,1
224,mercury cougar brougham,15.0,8,302.0,130,4295,14.9,77,1
225,chevrolet concours,17.5,6,250.0,110,3520,16.4,77,1
226,buick skylark,20.5,6,231.0,105,3425,16.9,77,1
227,plymouth volare custom,19.0,6,225.0,100,3630,17.7,77,1
228,ford granada,18.5,6,250.0,98,3525,19.0,77,1
229,pontiac grand prix lj,16.0,8,400.0,180,4220,11.1,77,1
230,chevrolet monte carlo landau,15.5,8,350.0,170,4165,11.4,77,1
231,chrysler cordoba,15.5,8,400.0,190,4325,12.2,77,1
232,ford thunderbird,16.0,8,351.0,149,4335,14.5,77,1
233,volkswagen rabbit custom,29.0,4,97.0,78,1940,14.5,77,2
234,pontiac sunbird coupe,24.5,4,151.0,88,2740,16.0,77,1
235,toyota corolla liftback,26.0,4,97.0,75,2265,18.2,77,3
236,ford mustang ii 2+2,25.5,4,140.0,89,2755,15.8,77,1
237,chevrolet chevette,30.5,4,98.0,63,2051,17.0,77,1
238,dodge colt m/m,33.5,4,98.0,83,2075,15.9,77,1
239,subaru dl,30.0,4,97.0,67,1985,16.4,77,3
240,volkswagen dasher,30.5,4,97.0,78,2190,14.1,77,2
241,datsun 810,22.0,6,146.0,97,2815,14.5,77,3
242,bmw 320i,21.5,4,121.0,110,2600,12.8,77,2
243,mazda rx-4,21.5,3,80.0,110,2720,13.5,77,3
244,volkswagen rabbit custom diesel,43.1,4,90.0,48,1985,21.5,78,2
245,ford fiesta,36.1,4,98.0,66,1800,14.4,78,1
246,mazda glc deluxe,32.8,4,78.0,52,1985,19.4,78,3
247,datsun b210 gx,39.4,4,85.0,70,2070,18.6,78,3
248,honda civic cvcc,36.1,4,91.0,60,1800,16.4,78,3
249,oldsmobile cutlass salon brougham,19.9,8,260.0,110,3365,15.5,78,1
250,dodge diplomat,19.4,8,318.0,140,3735,13.2,78,1
251,mercury monarch ghia,20.2,8,302.0,139,3570,12.8,78,1
252,pontiac phoenix lj,19.2,6,231.0,105,3535,19.2,78,1
253,chevrolet malibu,20.5,6,200.0,95,3155,18.2,78,1
254,ford fairmont (auto),20.2,6,200.0,85,2965,15.8,78,1
255,ford fairmont (man),25.1,4,140.0,88,2720,15.4,78,1
256,plymouth volare,20.5,6,225.0,100,3430,17.2,78,1
257,amc concord,19.4,6,232.0,90,3210,17.2,78,1
258,buick century special,20.6,6,231.0,105,3380,15.8,78,1
259,mercury zephyr,20.8,6,200.0,85,3070,16.7,78,1
260,dodge aspen,18.6,6,225.0,110,3620,18.7,78,1
261,amc concord d/l,18.1,6,258.0,120,3410,15.1,78,1
262,chevrolet monte carlo landau,19.2,8,305.0,145,3425,13.2,78,1
263,buick regal sport coupe (turbo),17.7,6,231.0,165,3445,13.4,78,1
264,ford futura,18.1,8,302.0,139,3205,11.2,78,1
265,dodge magnum xe,17.5,8,318.0,140,4080,13.7,78,1
266,chevrolet chevette,30.0,4,98.0,68,2155,16.5,78,1
267,toyota corona,27.5,4,134.0,95,2560,14.2,78,3
268,datsun 510,27.2,4,119.0,97,2300,14.7,78,3
269,dodge omni,30.9,4,105.0,75,2230,14.5,78,1
270,toyota celica gt liftback,21.1,4,134.0,95,2515,14.8,78,3
271,plymouth sapporo,23.2,4,156.0,105,2745,16.7,78,1
272,oldsmobile starfire sx,23.8,4,151.0,85,2855,17.6,78,1
273,datsun 200-sx,23.9,4,119.0,97,2405,14.9,78,3
274,audi 5000,20.3,5,131.0,103,2830,15.9,78,2
275,volvo 264gl,17.0,6,163.0,125,3140,13.6,78,2
276,saab 99gle,21.6,4,121.0,115,2795,15.7,78,2
277,peugeot 604sl,16.2,6,163.0,133,3410,15.8,78,2
278,volkswagen scirocco,31.5,4,89.0,71,1990,14.9,78,2
279,honda accord lx,29.5,4,98.0,68,2135,16.6,78,3
280,pontiac lemans v6,21.5,6,231.0,115,3245,15.4,79,1
281,mercury zephyr 6,19.8,6,200.0,85,2990,18.2,79,1
282,ford fairmont 4,22.3,4,140.0,88,2890,17.3,79,1
283,amc concord dl 6,20.2,6,232.0,90,3265,18.2,79,1
284,dodge aspen 6,20.6,6,225.0,110,3360,16.6,79,1
285,chevrolet caprice classic,17.0,8,305.0,130,3840,15.4,79,1
286,ford ltd landau,17.6,8,302.0,129,3725,13.4,79,1
287,mercury grand marquis,16.5,8,351.0,138,3955,13.2,79,1
288,dodge st. regis,18.2,8,318.0,135,3830,15.2,79,1
289,buick estate wagon (sw),16.9,8,350.0,155,4360,14.9,79,1
290,ford country squire (sw),15.5,8,351.0,142,4054,14.3,79,1
291,chevrolet malibu classic (sw),19.2,8,267.0,125,3605,15.0,79,1
292,chrysler lebaron town @ country (sw),18.5,8,360.0,150,3940,13.0,79,1
293,vw rabbit custom,31.9,4,89.0,71,1925,14.0,79,2
294,maxda glc deluxe,34.1,4,86.0,65,1975,15.2,79,3
295,dodge colt hatchback custom,35.7,4,98.0,80,1915,14.4,79,1
296,amc spirit dl,27.4,4,121.0,80,2670,15.0,79,1
297,mercedes benz 300d,25.4,5,183.0,77,3530,20.1,79,2
298,cadillac eldorado,23.0,8,350.0,125,3900,17.4,79,1
299,peugeot 504,27.2,4,141.0,71,3190,24.8,79,2
300,oldsmobile cutlass salon brougham,23.9,8,260.0,90,3420,22.2,79,1
301,plymouth horizon,34.2,4,105.0,70,2200,13.2,79,1
302,plymouth horizon tc3,34.5,4,105.0,70,2150,14.9,79,1
303,datsun 210,31.8,4,85.0,65,2020,19.2,79,3
304,fiat strada custom,37.3,4,91.0,69,2130,14.7,79,2
305,buick skylark limited,28.4,4,151.0,90,2670,16.0,79,1
306,chevrolet citation,28.8,6,173.0,115,2595,11.3,79,1
307,oldsmobile omega brougham,26.8,6,173.0,115,2700,12.9,79,1
308,pontiac phoenix,33.5,4,151.0,90,2556,13.2,79,1
309,vw rabbit,41.5,4,98.0,76,2144,14.7,80,2
310,toyota corolla tercel,38.1,4,89.0,60,1968,18.8,80,3
311,chevrolet chevette,32.1,4,98.0,70,2120,15.5,80,1
312,datsun 310,37.2,4,86.0,65,2019,16.4,80,3
313,chevrolet citation,28.0,4,151.0,90,2678,16.5,80,1
314,ford fairmont,26.4,4,140.0,88,2870,18.1,80,1
315,amc concord,24.3,4,151.0,90,3003,20.1,80,1
316,dodge aspen,19.1,6,225.0,90,3381,18.7,80,1
317,audi 4000,34.3,4,97.0,78,2188,15.8,80,2
318,toyota corona liftback,29.8,4,134.0,90,2711,15.5,80,3
319,mazda 626,31.3,4,120.0,75,2542,17.5,80,3
320,datsun 510 hatchback,37.0,4,119.0,92,2434,15.0,80,3
321,toyota corolla,32.2,4,108.0,75,2265,15.2,80,3
322,mazda glc,46.6,4,86.0,65,2110,17.9,80,3
323,dodge colt,27.9,4,156.0,105,2800,14.4,80,1
324,datsun 210,40.8,4,85.0,65,2110,19.2,80,3
325,vw rabbit c (diesel),44.3,4,90.0,48,2085,21.7,80,2
326,vw dasher (diesel),43.4,4,90.0,48,2335,23.7,80,2
327,audi 5000s (diesel),36.4,5,121.0,67,2950,19.9,80,2
328,mercedes-benz 240d,30.0,4,146.0,67,3250,21.8,80,2
329,honda civic 1500 gl,44.6,4,91.0,67,1850,13.8,80,3
330,renault lecar deluxe,40.9,4,85.0,?,1835,17.3,80,2
331,subaru dl,33.8,4,97.0,67,2145,18.0,80,3
332,vokswagen rabbit,29.8,4,89.0,62,1845,15.3,80,2
333,datsun 280-zx,32.7,6,168.0,132,2910,11.4,80,3
334,mazda rx-7 gs,23.7,3,70.0,100,2420,12.5,80,3
335,triumph tr7 coupe,35.0,4,122.0,88,2500,15.1,80,2
336,ford mustang cobra,23.6,4,140.0,?,2905,14.3,80,1
337,honda accord,32.4,4,107.0,72,2290,17.0,80,3
338,plymouth reliant,27.2,4,135.0,84,2490,15.7,81,1
339,buick skylark,26.6,4,151.0,84,2635,16.4,81,1
340,dodge aries wagon (sw),25.8,4,156.0,92,2620,14.4,81,1
341,chevrolet citation,23.5,6,173.0,110,2725,12.6,81,1
342,plymouth reliant,30.0,4,135.0,84,2385,12.9,81,1
343,toyota starlet,39.1,4,79.0,58,1755,16.9,81,3
344,plymouth champ,39.0,4,86.0,64,1875,16.4,81,1
345,honda civic 1300,35.1,4,81.0,60,1760,16.1,81,3
346,subaru,32.3,4,97.0,67,2065,17.8,81,3
347,datsun 210 mpg,37.0,4,85.0,65,1975,19.4,81,3
348,toyota tercel,37.7,4,89.0,62,2050,17.3,81,3
349,mazda glc 4,34.1,4,91.0,68,1985,16.0,81,3
350,plymouth horizon 4,34.7,4,105.0,63,2215,14.9,81,1
351,ford escort 4w,34.4,4,98.0,65,2045,16.2,81,1
352,ford escort 2h,29.9,4,98.0,65,2380,20.7,81,1
353,volkswagen jetta,33.0,4,105.0,74,2190,14.2,81,2
354,renault 18i,34.5,4,100.0,?,2320,15.8,81,2
355,honda prelude,33.7,4,107.0,75,2210,14.4,81,3
356,toyota corolla,32.4,4,108.0,75,2350,16.8,81,3
357,datsun 200sx,32.9,4,119.0,100,2615,14.8,81,3
358,mazda 626,31.6,4,120.0,74,2635,18.3,81,3
359,peugeot 505s turbo diesel,28.1,4,141.0,80,3230,20.4,81,2
360,volvo diesel,30.7,6,145.0,76,3160,19.6,81,2
361,toyota cressida,25.4,6,168.0,116,2900,12.6,81,3
362,datsun 810 maxima,24.2,6,146.0,120,2930,13.8,81,3
363,buick century,22.4,6,231.0,110,3415,15.8,81,1
364,oldsmobile cutlass ls,26.6,8,350.0,105,3725,19.0,81,1
365,ford granada gl,20.2,6,200.0,88,3060,17.1,81,1
366,chrysler lebaron salon,17.6,6,225.0,85,3465,16.6,81,1
367,chevrolet cavalier,28.0,4,112.0,88,2605,19.6,82,1
368,chevrolet cavalier wagon,27.0,4,112.0,88,2640,18.6,82,1
369,chevrolet cavalier 2-door,34.0,4,112.0,88,2395,18.0,82,1
370,pontiac j2000 se hatchback,31.0,4,112.0,85,2575,16.2,82,1
371,dodge aries se,29.0,4,135.0,84,2525,16.0,82,1
372,pontiac phoenix,27.0,4,151.0,90,2735,18.0,82,1
373,ford fairmont futura,24.0,4,140.0,92,2865,16.4,82,1
374,amc concord dl,23.0,4,151.0,?,3035,20.5,82,1
375,volkswagen rabbit l,36.0,4,105.0,74,1980,15.3,82,2
376,mazda glc custom l,37.0,4,91.0,68,2025,18.2,82,3
377,mazda glc custom,31.0,4,91.0,68,1970,17.6,82,3
378,plymouth horizon miser,38.0,4,105.0,63,2125,14.7,82,1
379,mercury lynx l,36.0,4,98.0,70,2125,17.3,82,1
380,nissan stanza xe,36.0,4,120.0,88,2160,14.5,82,3
381,honda accord,36.0,4,107.0,75,2205,14.5,82,3
382,toyota corolla,34.0,4,108.0,70,2245,16.9,82,3
383,honda civic,38.0,4,91.0,67,1965,15.0,82,3
384,honda civic (auto),32.0,4,91.0,67,1965,15.7,82,3
385,datsun 310 gx,38.0,4,91.0,67,1995,16.2,82,3
386,buick century limited,25.0,6,181.0,110,2945,16.4,82,1
387,oldsmobile cutlass ciera (diesel),38.0,6,262.0,85,3015,17.0,82,1
388,chrysler lebaron medallion,26.0,4,156.0,92,2585,14.5,82,1
389,ford granada l,22.0,6,232.0,112,2835,14.7,82,1
390,toyota celica gt,32.0,4,144.0,96,2665,13.9,82,3
391,dodge charger 2.2,36.0,4,135.0,84,2370,13.0,82,1
392,chevrolet camaro,27.0,4,151.0,90,2950,17.3,82,1
393,ford mustang gl,27.0,4,140.0,86,2790,15.6,82,1
394,vw pickup,44.0,4,97.0,52,2130,24.6,82,2
395,dodge rampage,32.0,4,135.0,84,2295,11.6,82,1
396,ford ranger,28.0,4,120.0,79,2625,18.6,82,1
397,chevy s-10,31.0,4,119.0,82,2720,19.4,82,1
